id_releve_urgences,id_finess_etablissement,nom_etablissement,commune,code_departement,nom_region,horodate_pas_1heure,nombre_admissions_heure,temps_attente_moyen_minutes,taux_occupation_lits_urgences_pct,statut_tension_urgences
URG-00001,60026150,IRM GIE GRAMO SITE CH ANTIBES,ANTIBES,66 - Département 66,Île-de-France,2026-08-17 19:00:00 UTC,34,285,101.6,SOUS_TENSION
URG-00002,20004735,EHPAD CH LAON,LAON CEDEX,20 - Département 20,Île-de-France,2026-08-17 19:00:00 UTC,51,53,87.8,SOUS_TENSION
URG-00003,60785003,CHU DE NICE HOPITAL PASTEUR,NICE CEDEX 1,60 - Département 60,Île-de-France,2026-08-17 19:00:00 UTC,30,81,81.1,NORMAL
URG-00004,70000195,CH DE TOURNON SUR RHONE,TOURNON SUR RHONE CEDEX,73 - Département 73,Île-de-France,2026-08-17 19:00:00 UTC,84,115,120.3,TENSION_EXTREME_PLAN_BLANC
URG-00005,20014502,URCA EPSMD AISNE,PREMONTRE,23 - Département 23,Île-de-France,2026-08-17 19:00:00 UTC,31,264,137.2,TENSION_EXTREME_PLAN_BLANC
URG-00006,60788791,CMP CATTP IJ LA PARENTHESE CH CANNES,GRASSE,61 - Département 61,Île-de-France,2026-08-17 19:00:00 UTC,53,205,97.5,SOUS_TENSION
URG-00007,60788379,HJ CAGNES SUR MER CHS SAINTE MARIE,CAGNES SUR MER,68 - Département 68,Île-de-France,2026-08-17 19:00:00 UTC,30,124,56.8,NORMAL
URG-00008,70000187,CH DE LAMASTRE,LAMASTRE,72 - Département 72,Île-de-France,2026-08-17 19:00:00 UTC,50,104,140.9,TENSION_EXTREME_PLAN_BLANC
URG-00009,10007748,CHU ORSAC - HEBERGEMENT D'URGENCE,AMBERIEU EN BUGEY,15 - Département 15,Île-de-France,2026-08-17 19:00:00 UTC,54,215,47.9,NORMAL
URG-00010,10786085,EHPAD CH PONT DE VAUX,PONT DE VAUX,11 - Département 11,Île-de-France,2026-08-17 19:00:00 UTC,22,274,137.0,TENSION_EXTREME_PLAN_BLANC
URG-00011,20017455,SANTELYS DIALYSE À DOMICILE CH LAON,LAON,20 - Département 20,Île-de-France,2026-08-17 19:00:00 UTC,76,67,137.4,TENSION_EXTREME_PLAN_BLANC
URG-00012,70001243,EML SCM SVRV SCAN CLINIQUE PASTEUR,GUILHERAND GRANGES,75 - Département 75,Île-de-France,2026-08-17 19:00:00 UTC,50,129,114.7,TENSION_EXTREME_PLAN_BLANC
URG-00013,60007879,GCS UNITE EVEIL CHU NICE UGECAM SIEGE,NICE CEDEX 3,62 - Département 62,Île-de-France,2026-08-17 19:00:00 UTC,25,105,52.0,NORMAL
URG-00014,30000061,CH DE MOULINS,MOULINS CEDEX,30 - Département 30,Île-de-France,2026-08-17 19:00:00 UTC,66,106,103.1,SOUS_TENSION
URG-00015,10007904,HDJ ADULTES MONTLUEL,MONTLUEL,11 - Département 11,Île-de-France,2026-08-17 19:00:00 UTC,53,245,124.6,TENSION_EXTREME_PLAN_BLANC
URG-00016,10000032,CH BUGEY SUD,BELLEY,13 - Département 13,Île-de-France,2026-08-17 19:00:00 UTC,47,311,66.7,NORMAL
URG-00017,20004701,EHPAD CH LA FÈRE,LA FERE,28 - Département 28,Île-de-France,2026-08-17 19:00:00 UTC,51,66,127.4,TENSION_EXTREME_PLAN_BLANC
URG-00018,30785216,EHPAD CH NERIS LES BAINS,NERIS LES BAINS,33 - Département 33,Île-de-France,2026-08-17 19:00:00 UTC,40,124,68.1,NORMAL
URG-00019,60780145,CLINIQUE SAINT DOMINIQUE,NICE,61 - Département 61,Île-de-France,2026-08-17 19:00:00 UTC,27,319,96.9,SOUS_TENSION
URG-00020,10788008,USLD CH PONT DE VEYLE,PONT DE VEYLE,12 - Département 12,Île-de-France,2026-08-17 19:00:00 UTC,82,314,138.1,TENSION_EXTREME_PLAN_BLANC
URG-00021,20009874,USLD CH SAINT-QUENTIN,ST QUENTIN CEDEX,23 - Département 23,Île-de-France,2026-08-17 19:00:00 UTC,34,252,83.1,NORMAL
URG-00022,20000915,SSR JACQUES FICHEUX SAINT-GOBAIN,ST GOBAIN,24 - Département 24,Île-de-France,2026-08-17 19:00:00 UTC,25,232,89.8,SOUS_TENSION
URG-00023,10011641,CLINIQUE DU SOUFFLE LE PONTET,PLATEAU D HAUTEVILLE,11 - Département 11,Île-de-France,2026-08-17 19:00:00 UTC,68,204,64.1,NORMAL
URG-00024,20014627,CATTP CH SAINT-QUENTIN VOLTAIRE,ST QUENTIN,21 - Département 21,Île-de-France,2026-08-17 19:00:00 UTC,49,38,124.9,TENSION_EXTREME_PLAN_BLANC
URG-00025,10008217,HDJ ADULTES BOURG-EN-BRESSE,BOURG EN BRESSE,10 - Département 10,Île-de-France,2026-08-17 19:00:00 UTC,70,123,84.5,NORMAL
URG-00026,10786085,EHPAD CH PONT DE VAUX,PONT DE VAUX,11 - Département 11,Île-de-France,2026-08-17 19:00:00 UTC,43,289,127.0,TENSION_EXTREME_PLAN_BLANC
URG-00027,60000163,CH SAINT MAUR SAINT ETIENNE TINEE,ST ETIENNE DE TINEE,66 - Département 66,Île-de-France,2026-08-17 19:00:00 UTC,62,139,82.8,NORMAL
URG-00028,60033131,CHU PACHAMAMA - ALTHO,NICE,60 - Département 60,Île-de-France,2026-08-17 19:00:00 UTC,25,113,107.0,SOUS_TENSION
URG-00029,30009203,CMP ADULTES VALIGNY/LURCY,VALIGNY,33 - Département 33,Île-de-France,2026-08-17 19:00:00 UTC,14,270,45.1,NORMAL
URG-00030,10000495,CENTRE PSYCHOTHERAPIQUE DE L'AIN,BOURG EN BRESSE CEDEX,10 - Département 10,Île-de-France,2026-08-17 19:00:00 UTC,51,143,68.4,NORMAL
URG-00031,50005271,HJ PSY IJ LES ISLES LARAGNE,LARAGNE MONTEGLIN,53 - Département 53,Île-de-France,2026-08-17 19:00:00 UTC,84,115,46.9,NORMAL
URG-00032,40003808,CENTRE DE FORMATION DU CH DE DIGNE,DIGNE LES BAINS CEDEX 9,49 - Département 49,Île-de-France,2026-08-17 19:00:00 UTC,69,258,138.4,TENSION_EXTREME_PLAN_BLANC
URG-00033,60007788,CENTRE DE FORMATION DU CH DE MENTON,MENTON CEDEX,65 - Département 65,Île-de-France,2026-08-17 19:00:00 UTC,35,209,46.1,NORMAL
URG-00034,30783583,ULSD CH JACQUES LACARIN VICHY,VICHY CEDEX,32 - Département 32,Île-de-France,2026-08-17 19:00:00 UTC,31,125,121.0,TENSION_EXTREME_PLAN_BLANC
URG-00035,60002102,CH LA PALMOSA DE MENTON,MENTON CEDEX,65 - Département 65,Île-de-France,2026-08-17 19:00:00 UTC,30,82,82.5,NORMAL
URG-00036,10007920,HDJ ADULTES AMBERIEU,AMBERIEU EN BUGEY,15 - Département 15,Île-de-France,2026-08-17 19:00:00 UTC,28,300,51.6,NORMAL
URG-00037,50000223,CENTRE HOSPITALIER AIGUILLES QUEYRAS,AIGUILLES,54 - Département 54,Île-de-France,2026-08-17 19:00:00 UTC,37,37,119.9,TENSION_EXTREME_PLAN_BLANC
